iter	Passed	Remaining
0	15	23953
1	23	17737
2	34	17063
3	46	17299
4	57	17120
5	98	24543
6	109	23307
7	125	23463
8	137	22730
9	158	23542
10	173	23492
11	185	23048
12	205	23494
13	215	22910
14	226	22398
15	253	23485
16	263	22987
17	273	22542
18	284	22163
19	300	22250
20	316	22296
21	326	21962
22	348	22378
23	364	22408
24	380	22441
25	443	25143
26	459	25063
27	475	24984
28	491	24916
29	501	24581
30	522	24742
31	532	24426
32	554	24631
33	564	24339
34	575	24067
35	585	23802
36	601	23789
37	612	23548
38	633	23732
39	643	23502
40	654	23276
41	664	23063
42	674	22858
43	685	22674
44	696	22528
45	712	22522
46	728	22525
47	739	22357
48	749	22191
49	776	22508
50	786	22344
51	796	22181
52	806	22026
53	817	21882
54	838	22036
55	870	22450
56	880	22302
57	918	22833
58	934	22822
59	944	22673
60	955	22534
61	988	22932
62	998	22784
63	1014	22752
64	1029	22735
65	1045	22721
66	1055	22583
67	1077	22694
68	1093	22678
69	1103	22546
70	1114	22423
71	1141	22637
72	1151	22508
73	1161	22385
74	1171	22264
75	1189	22278
76	1199	22162
77	1220	22254
78	1230	22142
79	1241	22035
80	1251	21926
81	1261	21820
82	1284	21922
83	1294	21817
84	1304	21720
85	1314	21620
86	1325	21526
87	1335	21436
88	1347	21365
89	1357	21274
90	1368	21184
91	1394	21337
92	1404	21243
93	1426	21329
94	1436	21241
95	1457	21321
96	1468	21241
97	1478	21156
98	1488	21070
99	1499	20995
100	1521	21071
101	1531	20987
102	1541	20908
103	1552	20845
104	1563	20775
105	1582	20815
106	1598	20813
107	1610	20753
108	1638	20903
109	1649	20837
110	1660	20777
111	1671	20711
112	1693	20792
113	1708	20777
114	1719	20704
115	1729	20633
116	1747	20651
117	1757	20580
118	1767	20510
119	1777	20445
120	1787	20376
121	1798	20310
122	1820	20375
123	1830	20313
124	1855	20405
125	1865	20340
126	1883	20363
127	1893	20300
128	1904	20236
129	1914	20175
130	1924	20114
131	1947	20179
132	1963	20176
133	1978	20173
134	1994	20170
135	2010	20167
136	2021	20108
137	2031	20048
138	2041	19990
139	2057	19989
140	2089	20139
141	2104	20127
142	2114	20068
143	2125	20013
144	2136	19965
145	2146	19909
146	2183	20095
147	2199	20088
148	2214	20078
149	2224	20018
150	2245	20059
151	2260	20045
152	2275	20034
153	2290	20020
154	2300	19964
155	2311	19911
156	2321	19857
157	2331	19804
158	2354	19854
159	2370	19848
160	2380	19795
161	2390	19742
